V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22
0.62148230924122,0.520298782896251,0.823410565074347,0.196456395113375,8.02720987627981,16.8743690645369,12.2757064889651,10.3454735366278,0.390128607077245,0.420971179175796,0.353162110331468,0.444498626337619,0.428979189968342,0.402355725723598,1.55,4.38,4.53,80.3,0.5,0.1,1.1,20
0.60135470407512,0.832212306668609,0.782562964168005,0.215148619362339,19.8113263035566,8.29630967720877,17.6838028254313,7.92508031877689,0.427610556082055,0.354975437377812,0.44995361495004,0.413901017414313,0.4014134263054,0.436121852989961,1.55,4.38,4.53,80.3,0.5,0.1,1.1,20
0.746634609674476,0.775307219736464,0.692199299489893,0.223600453382451,9.59116496153641,19.0679783324245,6.13689043069026,16.8669420752791,0.410014175287029,0.44303231229512,0.395522326761205,0.359537393938517,0.366035653250013,0.416990209083585,1.55,4.38,4.53,80.3,0.5,0.1,1.1,20
0.889345857585035,0.865093572993763,0.883891942119226,0.245862077117711,19.3119946342125,9.26059481969103,11.4738733763853,14.2376705306675,0.367869883106137,0.403943644620758,0.407233891712269,0.358892620664835,0.376177568611084,0.439378585177241,1.55,4.38,4.53,80.3,0.5,0.1,1.1,20
0.607525412423164,0.890332846683636,0.763339272659272,0.195605226275278,8.77235477745067,6.83581126403529,15.4611924072774,12.850478045023,0.447192003800906,0.362894336233148,0.410773270674143,0.386080711921817,0.446231015061587,0.374742872520769,1.55,4.38,4.53,80.3,0.5,0.1,1.1,20
0.646022394464538,0.780490607130155,0.768222939939611,0.18784331450779,17.2250059887162,16.0051112622465,8.47292119855527,16.1103648445802,0.354815622903127,0.373895110153453,0.390951220981171,0.431358900925657,0.410820024434384,0.421613154828781,1.55,4.38,4.53,80.3,0.5,0.1,1.1,20
0.70564596309308,0.650305665209889,0.801797249536589,0.150475178658636,15.5108876058459,9.29835769363679,10.4358214814914,10.0711453422951,0.40246201311429,0.404792227623891,0.423475528393826,0.37270561533221,0.430038049945608,0.40571319058896,1.55,4.38,4.53,80.3,0.5,0.1,1.1,20
0.541072336042486,0.783978379692324,0.657379058985598,0.15646916239853,6.44623364730971,8.5061514901882,9.27920908000786,18.2389338699845,0.36815529822777,0.363854249689728,0.381145353922248,0.437107605366595,0.400292450620513,0.364788223050674,1.55,4.38,4.53,80.3,0.5,0.1,1.1,20
0.637232882530801,0.849646472632326,0.760369260714762,0.232751169294957,8.95359297170304,10.6282380506839,15.936525814035,7.80114479301265,0.431920153640537,0.400462703951448,0.439185249953484,0.398014410612406,0.445808755855588,0.437316854592552,1.55,4.38,4.53,80.3,0.5,0.1,1.1,20
0.533574853986874,0.693668355724029,0.755576911261678,0.176794468515366,8.48740676452871,14.3662072296883,12.9990796458977,17.4464316151245,0.436416595724737,0.380853371812217,0.38487291897852,0.378070092407241,0.429491352319298,0.442198691249127,1.55,4.38,4.53,80.3,0.5,0.1,1.1,20
0.626063520322554,0.686486670951732,0.671826678864472,0.219918694077199,5.31594998078654,8.52163798169466,14.3851773116016,10.3804392291792,0.414384280187497,0.447772881562449,0.407753443860542,0.367646524337865,0.436727399852965,0.421832016720623,1.55,4.38,4.53,80.3,0.5,0.1,1.1,20
0.520416925822012,0.66611697659567,0.727275571034662,0.151911451375252,8.57076624214184,17.3946830793773,16.6080352621851,16.3992932477943,0.407311166193895,0.408558091037348,0.43222207187824,0.444608133124607,0.396497485143086,0.428670061541256,1.55,4.38,4.53,80.3,0.5,0.1,1.1,20
0.869388502830453,0.56234231051188,0.72163431706056,0.183780329701118,10.7722812453844,12.3327860547998,5.75107145370916,19.2056510309619,0.356293298888532,0.420632702402305,0.367632918033423,0.419878364309203,0.386580959594483,0.410384123426024,1.55,4.38,4.53,80.3,0.5,0.1,1.1,20
