year,age,serotype,prev,prevlo,prevhi
2010,<1y,V,0.0398363629152131,0.0362643979759113,0.0418903243358199
2011,<1y,V,0.0334206397349957,0.0303821123415469,0.0352694206657318
2012,<1y,V,0.0282389308999957,0.0256388282838565,0.0298866775140477
2013,<1y,V,0.0242931589344379,0.0220686066045763,0.0257422727851539
2014,<1y,V,0.0212506514161958,0.0193094400974346,0.0225460783298743
2015,<1y,V,0.0188846138768717,0.0171962841760911,0.0200366547754052
2016,<1y,V,0.0170078115425473,0.0155351124539472,0.018044285105145
2017,<1y,V,0.015589093757895,0.0143049443260377,0.0165347448423186
2018,<1y,V,0.0143635188194955,0.013218080792676,0.0152458888064649
2019,<1y,V,0.0134165647566751,0.0123789062136708,0.0142508044531128
2010,1-4y,V,0.0504639387593692,0.0455648810297435,0.0535124764781173
2011,1-4y,V,0.0418339499008555,0.0378272422732268,0.044402428025356
2012,1-4y,V,0.0351883020677696,0.0318718157967832,0.0374028561900085
2013,1-4y,V,0.0302711881083089,0.0274432908984378,0.0321987904431768
2014,1-4y,V,0.0265154718478147,0.024104501352831,0.02822240764198
2015,1-4y,V,0.0236306012507383,0.0215449153305784,0.0251302609551953
2016,1-4y,V,0.0213552719401858,0.019527106287349,0.0226905776422986
2017,1-4y,V,0.0196435971125503,0.0180309547285015,0.0208587203473099
2018,1-4y,V,0.018175435278618,0.0167342411838144,0.0192677176094253
2019,1-4y,V,0.0170317090422517,0.0157144564348362,0.0180776533638586
2010,5-17y,V,0.0402350934181283,0.0366175748664695,0.0425164661563416
2011,5-17y,V,0.0328916769332114,0.0298090774311523,0.0349608855651737
2012,5-17y,V,0.0277855008890281,0.0251314410507598,0.0296461580208982
2013,5-17y,V,0.0238688452746762,0.0215967889358401,0.0254710444071565
2014,5-17y,V,0.0208394381692943,0.0188687857898196,0.0222645611653212
2015,5-17y,V,0.0185053527088968,0.0168004178939493,0.0197780429705983
2016,5-17y,V,0.0166732913172986,0.0151966402836064,0.01778471630295
2017,5-17y,V,0.0153161430654262,0.0140013210086285,0.0163040023647953
2018,5-17y,V,0.0141701495520419,0.0130010356182051,0.0150639880700038
2019,5-17y,V,0.0132749386453429,0.0122081985657789,0.0140946589460861
2010,18+y,V,0.0142211719655327,0.0128499674614688,0.0151552326611908
2011,18+y,V,0.0119833609069242,0.0107942602671594,0.012819915695296
2012,18+y,V,0.0100585073728157,0.00904064799527829,0.0107935708409161
2013,18+y,V,0.00858600577741362,0.00772941562297064,0.00922374111643979
2014,18+y,V,0.00745391504836763,0.00671483673727756,0.00801203486913666
2015,18+y,V,0.00653246328582145,0.00590656042528235,0.00701650380648708
2016,18+y,V,0.00585370019112598,0.00531297886748788,0.00627533260044986
2017,18+y,V,0.0051696016799887,0.00470216609275282,0.00553386170696832
2018,18+y,V,0.00475422738630206,0.00433985675240513,0.00507714233326058
2019,18+y,V,0.00442737496493676,0.00405445460399813,0.00472860353973442
2010,<1y,F,0.007393972341839,0.00573661905912772,0.0094967631187285
2011,<1y,F,0.00753702387898931,0.00578467605194882,0.00978980482332365
2012,<1y,F,0.00801834523682907,0.0061423168721143,0.0104266121159449
2013,<1y,F,0.00888854517944842,0.00681795209481737,0.0114865315707859
2014,<1y,F,0.0101630762826047,0.00786064489786826,0.0129762875467061
2015,<1y,F,0.0118631737121079,0.00931287753572756,0.0148978531253119
2016,<1y,F,0.0139793424268523,0.0111620262839886,0.0171931070289002
2017,<1y,F,0.0165832975236881,0.0135049364979375,0.0199003115616267
2018,<1y,F,0.0194413623007345,0.0162365893552398,0.0227844633722261
2019,<1y,F,0.0225722765833451,0.0193165308912639,0.0258098665828739
2010,1-4y,F,0.00723998265714477,0.005589422043746,0.00940596912168663
2011,1-4y,F,0.00752633586793676,0.00577330469239158,0.00982636628524162
2012,1-4y,F,0.00813588689568395,0.00622346105610393,0.0106084864139437
2013,1-4y,F,0.009126455517242,0.00699864379188122,0.011821174110904
2014,1-4y,F,0.010524309022998,0.00813012398274756,0.0134693897181172
2015,1-4y,F,0.012353198188547,0.00969814288284478,0.0155276892545375
2016,1-4y,F,0.014629372626478,0.0116951218570076,0.0179834978927858
2017,1-4y,F,0.0173749407590708,0.0142027604095807,0.0208448189725699
2018,1-4y,F,0.0204124517498682,0.0170855942765517,0.0238659069562171
2019,1-4y,F,0.0237238649282926,0.0203642886227942,0.0270463695867749
2010,5-17y,F,0.00551993737819728,0.00428744599049273,0.00713200173098339
2011,5-17y,F,0.00542688604526856,0.00416796880395592,0.00708916543905356
2012,5-17y,F,0.00576252559649858,0.00440633487891752,0.00752923770347245
2013,5-17y,F,0.00637794305285544,0.00488944537223077,0.00828923808999774
2014,5-17y,F,0.00729424750173304,0.00561868270666941,0.00937011043377212
2015,5-17y,F,0.0085142360691345,0.00666801032009754,0.0107404368823186
2016,5-17y,F,0.0100542703016184,0.00800942541505386,0.01237242334972
2017,5-17y,F,0.0119234729704334,0.0097147394939317,0.0143337572492639
2018,5-17y,F,0.0139968829498851,0.0117109131761448,0.0163903511721484
2019,5-17y,F,0.0162608037091987,0.0139626222122789,0.0185762077486596
2010,18+y,F,0.00196740391440715,0.00151416705169709,0.00255794961250002
2011,18+y,F,0.00199817571340183,0.00152529687237377,0.00262416170782218
2012,18+y,F,0.00210826161332777,0.00160174375492174,0.00277685442072217
2013,18+y,F,0.00231962313851975,0.00176812179315609,0.0030265965161715
2014,18+y,F,0.00263332190858961,0.00201684028523336,0.0034072009799743
2015,18+y,F,0.00303415247801974,0.00235704367844178,0.00385418584114486
2016,18+y,F,0.00356040958103041,0.00281576025208093,0.00441194305267227
2017,18+y,F,0.00406120897847945,0.00328669749491985,0.00490598978509718
2018,18+y,F,0.00474556380785184,0.00394067170238499,0.0055939505266589
2019,18+y,F,0.00548293315591341,0.00467648854049969,0.00631130436899942
2010,<1y,N,0.59665787456939,0.597486853838248,0.595036764873074
2011,<1y,N,0.606034479558682,0.606692488695846,0.604059703026057
2012,<1y,N,0.611475219309139,0.611968263996972,0.609284192635854
2013,<1y,N,0.615664685735177,0.616022903553524,0.613374767150902
2014,<1y,N,0.618846088176583,0.619180612562242,0.616444685679603
2015,<1y,N,0.621251760754589,0.621507119678602,0.618777666522613
2016,<1y,N,0.62315654866485,0.623376260944329,0.62068683466005
2017,<1y,N,0.624805931418586,0.625053430993862,0.622336827014233
2018,<1y,N,0.625955302308333,0.62619074242675,0.62346488851956
2019,<1y,N,0.626872392150649,0.627093610992148,0.624329948706004
2010,1-4y,N,0.438395887207075,0.439178603885795,0.438671102333977
2011,1-4y,N,0.448279027724814,0.449094938021702,0.448203472468647
2012,1-4y,N,0.454030186980655,0.454802106242201,0.453753750783435
2013,1-4y,N,0.458414142330958,0.459161087561733,0.458003013373588
2014,1-4y,N,0.461753287320909,0.462440864147591,0.46127830989253
2015,1-4y,N,0.464308620581059,0.464935293128785,0.463819670742724
2016,1-4y,N,0.466323662244657,0.466907761965518,0.465770664216662
2017,1-4y,N,0.468131248458658,0.468684315353175,0.467576914732943
2018,1-4y,N,0.469358249866117,0.469861346516978,0.468779300643957
