year,age,serotype,prev,prevlo,prevhi
2010,<1y,V,0.0402901442159882,0.0380262552714191,0.0416977237603785
2011,<1y,V,0.0340969555934693,0.0320759753365774,0.035448139591868
2012,<1y,V,0.0289733369964782,0.027176669742469,0.030221350040394
2013,<1y,V,0.0249677563489365,0.0233976886409781,0.0260896341663485
2014,<1y,V,0.021793487884308,0.0204461618489596,0.02278116766814
2015,<1y,V,0.0192350319064529,0.0180818666532323,0.0200970841275544
2016,<1y,V,0.0170924285661655,0.0161056906809851,0.0178457911301747
2017,<1y,V,0.0153402600313213,0.0144694960608166,0.0160329584728511
2018,<1y,V,0.0137105785436756,0.0129373887188282,0.0143619353436129
2019,<1y,V,0.012278867175996,0.0115611505176624,0.012933424244415
2010,1-4y,V,0.0498509470371306,0.0464223976730076,0.0521575674085972
2011,1-4y,V,0.04164355543015,0.0387977988029015,0.0437300733877584
2012,1-4y,V,0.0351960439531085,0.0327810768036316,0.0370639142337832
2013,1-4y,V,0.0303010981178822,0.0282165082234047,0.0319563611504443
2014,1-4y,V,0.0264709248521039,0.0246638015238457,0.0279039210926341
2015,1-4y,V,0.0233840935134926,0.0218164660140972,0.0245990399371963
2016,1-4y,V,0.0208168589112144,0.0195139191907382,0.0218461383969804
2017,1-4y,V,0.0187077786987886,0.017604153149484,0.0196036049198643
2018,1-4y,V,0.0167359886667062,0.0158101677352504,0.0175382533255005
2019,1-4y,V,0.0149988524987394,0.0141538867436176,0.0157684390775631
2010,5-17y,V,0.0393576734511816,0.0367140608117812,0.0412295909280796
2011,5-17y,V,0.032438148271633,0.0301129294042828,0.0341722906349159
2012,5-17y,V,0.0275494093553312,0.0255048981946541,0.0291386730213519
2013,5-17y,V,0.0236689325660517,0.0219025063404041,0.0250886678511264
2014,5-17y,V,0.0206081445112596,0.0190789482016556,0.0218337701841983
2015,5-17y,V,0.0181557871642445,0.0168298125241527,0.0192045973939771
2016,5-17y,V,0.0161264436496006,0.0149918065225429,0.0170118728225974
2017,5-17y,V,0.0144840605025577,0.0135495451992806,0.0152283325970293
2018,5-17y,V,0.0129533221131406,0.0121798844705044,0.013592239603948
2019,5-17y,V,0.0116116968061097,0.0109535825165114,0.0122001095254667
2010,18+y,V,0.0139368499008358,0.0129204648055801,0.0146860249099614
2011,18+y,V,0.0118358562825888,0.0109139123746766,0.0125459074045045
2012,18+y,V,0.00998580575721032,0.00919864486613268,0.0106169253292438
2013,18+y,V,0.00853398724509516,0.0078558505240294,0.00908374696655917
2014,18+y,V,0.00738758303350778,0.0068066023756594,0.00786330281151297
2015,18+y,V,0.00642505048976313,0.00593524608584405,0.00682440014473739
2016,18+y,V,0.00567878336560385,0.00526203516102217,0.00601487828217288
2017,18+y,V,0.00490534664132857,0.00457404546266053,0.00517824468420155
2018,18+y,V,0.00436599948515108,0.00409561608018048,0.00460115952661543
2019,18+y,V,0.00389369856925301,0.00366009449102473,0.00410330975592433
2010,<1y,F,0.00796846960946963,0.00736474410248886,0.00901658034045109
2011,<1y,F,0.0078198040923467,0.00715084052594945,0.00890019226826917
2012,<1y,F,0.00807848333563669,0.0073225730985684,0.00923323676097498
2013,<1y,F,0.00877997443637706,0.00789692541591779,0.0100355664311222
2014,<1y,F,0.00991135733707768,0.00886613839462108,0.01130165786126
2015,<1y,F,0.0115003248689454,0.0102686083614307,0.013090329400749
2016,<1y,F,0.0135755763589507,0.0121449076922047,0.0153597319612762
2017,<1y,F,0.0162230704706932,0.0145516459253255,0.0181793444084889
2018,<1y,F,0.0192734367941527,0.0174029087195558,0.0213552622161126
2019,<1y,F,0.0227779758726751,0.0207114971940081,0.0249190926781177
2010,1-4y,F,0.00763786011201376,0.00706776633776957,0.00865423049957546
