V_pop1,V_pop2,V_pop3,V_pop4,F_pop1,F_pop2,F_pop3,F_pop4,N_pop1,N_pop2,N_pop3,N_pop4
570596.42,669830.58,3382084,13754877,570596.42,669830.58,3382084,13754877,570596.42,669830.58,3382084,13754877
613898.52,720663.48,3159540.8,12804759.2,613898.52,720663.48,3159540.8,12804759.2,613898.52,720663.48,3159540.8,12804759.2
624995.1,733689.9,3183947.6,12990928.4,624995.1,733689.9,3183947.6,12990928.4,624995.1,733689.9,3183947.6,12990928.4
543639.5,638185.5,2689918.6,11131942.4,543639.5,638185.5,2689918.6,11131942.4,543639.5,638185.5,2689918.6,11131942.4
551028.02,646858.98,2702150.2,11250454.8,551028.02,646858.98,2702150.2,11250454.8,551028.02,646858.98,2702150.2,11250454.8
603525.06,708485.94,2970219.2,12534259.8,603525.06,708485.94,2970219.2,12534259.8,603525.06,708485.94,2970219.2,12534259.8
633821.12,744050.88,2990328.4,12710776.6,633821.12,744050.88,2990328.4,12710776.6,633821.12,744050.88,2990328.4,12710776.6
637083.9,747881.1,3034749.4,12958147.6,637083.9,747881.1,3034749.4,12958147.6,637083.9,747881.1,3034749.4,12958147.6
644686.32,756805.68,3067314.4,13176438.6,644686.32,756805.68,3067314.4,13176438.6,644686.32,756805.68,3067314.4,13176438.6
648483.62,761263.38,3096405.4,13382643.6,648483.62,761263.38,3096405.4,13382643.6,648483.62,761263.38,3096405.4,13382643.6
1003834.08,1178413.92,4968817,21395015,1003834.08,1178413.92,4968817,21395015,1003834.08,1178413.92,4968817,21395015
982220.98,1153042.02,5114878,21983399,982220.98,1153042.02,5114878,21983399,982220.98,1153042.02,5114878,21983399
982998.38,1153954.62,5559073,22269108,982998.38,1153954.62,5559073,22269108,982998.38,1153954.62,5559073,22269108
980316.12,1150805.88,5569599,22551687,980316.12,1150805.88,5569599,22551687,980316.12,1150805.88,5569599,22551687
975340.3,1144964.7,5580304,22820875,975340.3,1144964.7,5580304,22820875,975340.3,1144964.7,5580304,22820875
971014.46,1139886.54,5589490,23096981,971014.46,1139886.54,5589490,23096981,971014.46,1139886.54,5589490,23096981
968123.36,1136492.64,5597785,23706554,968123.36,1136492.64,5597785,23706554,968123.36,1136492.64,5597785,23706554
964777.32,1132564.68,5604720,23952680,964777.32,1132564.68,5604720,23952680,964777.32,1132564.68,5604720,23952680
962673.28,1130094.72,5614354,26009514,962673.28,1130094.72,5614354,26009514,962673.28,1130094.72,5614354,26009514
960935.4,1128054.6,5616201,26254610,960935.4,1128054.6,5616201,26254610,960935.4,1128054.6,5616201,26254610
958198.4,1124841.6,5612473,26499965,958198.4,1124841.6,5612473,26499965,958198.4,1124841.6,5612473,26499965
